Date,Firm,Strategist,Stock Allocation %
1998-01-02,A.G. Edwards,Ray Worseck,60.0
1998-01-02,Bear Stearns,Liz Mackay,50.0
1998-01-02,CIBC,Michael Metz,25.0
1998-01-02,Credit Suisse,Christine Callies,60.0
1998-01-02,DLJ,Eric Miller,50.0
1998-01-02,Goldman Sachs,Abby Joseph Cohen,65.0
1998-01-02,JPMorgan,Douglas Cliggott,60.0
1998-01-02,Lehman,Jeffrey Applegate,75.0
1998-01-02,Merrill Lynch,Charles Clough,40.0
1998-01-02,Morgan Stanley,Peter Canelo,70.0
1998-01-02,NatWest,Thomas McManus,64.0
1998-01-02,PaineWebber,Ed Kerschner,57.0
1998-01-02,Prudential,Greg Smith,60.0
1998-01-02,Salomon SB,Committee,55.0
1998-01-02,UBS,Gail Dudack,45.0
1998-01-02,Wheat First,Don Hays,53.0
1998-01-09,A.G. Edwards,Ray Worseck,60.0
1998-01-09,Bear Stearns,Liz Mackay,50.0
1998-01-09,CIBC,Michael Metz,25.0
1998-01-09,Credit Suisse,Christine Callies,60.0
1998-01-09,DLJ,Eric Miller,50.0
1998-01-09,Goldman Sachs,Abby Joseph Cohen,65.0
1998-01-09,JPMorgan,Douglas Cliggott,60.0
1998-01-09,Lehman,Jeffrey Applegate,75.0
1998-01-09,Merrill Lynch,Charles Clough,40.0
1998-01-09,Morgan Stanley,Peter Canelo,70.0
1998-01-09,NatWest,Thomas McManus,64.0
1998-01-09,PaineWebber,Ed Kerschner,59.0
1998-01-09,Prudential,Greg Smith,60.0
1998-01-09,Salomon SB,Committee,50.0
1998-01-09,UBS,Gail Dudack,45.0
1998-01-09,Wheat First,Don Hays,53.0
1998-01-26,A.G. Edwards,Ray Worseck,60.0
1998-01-26,Bear Stearns,Liz Mackay,55.0
1998-01-26,Credit Suisse,Christine Callies,60.0
1998-01-26,DLJ,Eric Miller,50.0
1998-01-26,Goldman Sachs,Abby Joseph Cohen,65.0
1998-01-26,JPMorgan,Douglas Cliggott,60.0
1998-01-26,Lehman,Jeffrey Applegate,75.0
1998-01-26,Merrill Lynch,Charles Clough,40.0
1998-01-26,Morgan Stanley,Peter Canelo,70.0
1998-01-26,NatWest,Thomas McManus,64.0
1998-01-26,Oppenheimer,Michael Metz,25.0
1998-01-26,PaineWebber,Ed Kerschner,58.0
1998-01-26,Prudential,Greg Smith,60.0
1998-01-26,Salomon SB,Committee,55.0
1998-01-26,UBS,Gail Dudack,45.0
1998-01-26,Wheat First,Don Hays,62.0
1998-01-30,A.G. Edwards,Ray Worseck,60.0
1998-01-30,Bear Stearns,Liz Mackay,55.0
1998-01-30,Credit Suisse,Christine Callies,60.0
1998-01-30,DLJ,Eric Miller,50.0
1998-01-30,Goldman Sachs,Abby Joseph Cohen,65.0
1998-01-30,JPMorgan,Douglas Cliggott,60.0
1998-01-30,Lehman,Jeffrey Applegate,75.0
1998-01-30,Merrill Lynch,Charles Clough,40.0
1998-01-30,Morgan Stanley,Peter Canelo,70.0
1998-01-30,Oppenheimer,Michael Metz,25.0
1998-01-30,PaineWebber,Ed Kerschner,58.0
1998-01-30,Prudential,Greg Smith,60.0
1998-01-30,Salomon SB,Committee,55.0
1998-01-30,UBS,Gail Dudack,45.0
1998-01-30,Wheat First,Don Hays,53.0
