,Date,Firm,Strategist,Stock Allocation %,2000 Close
0,2000-01-14,Bear Stearns,Liz Mackay,55.0,1575.0
1,2000-01-14,CIBC,Subodh Kumar,51.0,1500.0
2,2000-01-14,CSFB,Christine Callies,55.0,1560.0
3,2000-01-14,DLJ,Thomas Galvin,80.0,1680.0
13,2000-01-14,SG Warburg,Gail Dudack,45.0,1300.0
4,2000-01-14,First Union,Rao Chalasani,65.0,
5,2000-01-14,Goldman Sachs,Abby Joseph Cohen,72.0,1385.0
6,2000-01-14,JPMorgan,Douglas Cliggott,50.0,1300.0
7,2000-01-14,Lehman,Jeffrey Applegate,80.0,1600.0
8,2000-01-14,Merrill Lynch,Charles Clough,40.0,
9,2000-01-14,Morgan Stanley,Peter Canelo,70.0,1620.0
10,2000-01-14,PaineWebber,Ed Kerschner,47.0,1600.0
11,2000-01-14,Prudential,Greg Smith,78.0,
12,2000-01-14,Salomon SB,Committee,55.0,1600.0
14,2000-01-19,Bear Stearns,Liz Mackay,55.0,1575.0
15,2000-01-19,CIBC,Subodh Kumar,51.0,1500.0
16,2000-01-19,CSFB,Christine Callies,55.0,1560.0
17,2000-01-19,DLJ,Thomas Galvin,80.0,1680.0
27,2000-01-19,SG Warburg,Gail Dudack,45.0,1300.0
18,2000-01-19,First Union,Rao Chalasani,65.0,
19,2000-01-19,Goldman Sachs,Abby Joseph Cohen,72.0,1525.0
20,2000-01-19,JPMorgan,Douglas Cliggott,50.0,1300.0
21,2000-01-19,Lehman,Jeffrey Applegate,80.0,1600.0
22,2000-01-19,Merrill Lynch,Charles Clough,40.0,
23,2000-01-19,Morgan Stanley,Peter Canelo,70.0,1620.0
24,2000-01-19,PaineWebber,Ed Kerschner,47.0,1600.0
25,2000-01-19,Prudential,Greg Smith,78.0,
26,2000-01-19,Salomon SB,Committee,55.0,1600.0
28,2000-01-24,Bear Stearns,Liz Mackay,55.0,1575.0
29,2000-01-24,CIBC,Subodh Kumar,51.0,1500.0
30,2000-01-24,CSFB,Christine Callies,55.0,1560.0
31,2000-01-24,DLJ,Thomas Galvin,80.0,1680.0
41,2000-01-24,SG Warburg,Gail Dudack,45.0,1300.0
32,2000-01-24,First Union,Rao Chalasani,65.0,
33,2000-01-24,Goldman Sachs,Abby Joseph Cohen,72.0,1525.0
34,2000-01-24,JPMorgan,Douglas Cliggott,50.0,1300.0
35,2000-01-24,Lehman,Jeffrey Applegate,80.0,1600.0
36,2000-01-24,Merrill Lynch,Charles Clough,40.0,
37,2000-01-24,Morgan Stanley,Peter Canelo,70.0,1620.0
38,2000-01-24,PaineWebber,Ed Kerschner,47.0,1600.0
39,2000-01-24,Prudential,Greg Smith,78.0,
40,2000-01-24,Salomon SB,Committee,55.0,1600.0
42,2000-01-28,Bear Stearns,Liz Mackay,55.0,1575.0
43,2000-01-28,CIBC,Subodh Kumar,51.0,1500.0
44,2000-01-28,CSFB,Christine Callies,55.0,1560.0
45,2000-01-28,DLJ,Thomas Galvin,80.0,1680.0
55,2000-01-28,SG Warburg,Gail Dudack,45.0,1300.0
46,2000-01-28,First Union,Rao Chalasani,65.0,
47,2000-01-28,Goldman Sachs,Abby Joseph Cohen,72.0,1525.0
48,2000-01-28,JPMorgan,Douglas Cliggott,50.0,1300.0
49,2000-01-28,Lehman,Jeffrey Applegate,80.0,1600.0
50,2000-01-28,Merrill Lynch,Charles Clough,40.0,
51,2000-01-28,Morgan Stanley,Peter Canelo,70.0,1620.0
52,2000-01-28,PaineWebber,Ed Kerschner,47.0,1600.0
53,2000-01-28,Prudential,Greg Smith,78.0,
54,2000-01-28,Salomon SB,Committee,55.0,1600.0
56,2000-02-04,Bear Stearns,Liz Mackay,55.0,1575.0
57,2000-02-04,CIBC,Subodh Kumar,51.0,1500.0
58,2000-02-04,CSFB,Christine Callies,55.0,1560.0
59,2000-02-04,DLJ,Thomas Galvin,80.0,1680.0
69,2000-02-04,SG Warburg,Gail Dudack,45.0,1300.0
60,2000-02-04,First Union,Rao Chalasani,65.0,
61,2000-02-04,Goldman Sachs,Abby Joseph Cohen,72.0,1525.0
62,2000-02-04,JPMorgan,Douglas Cliggott,50.0,1300.0
63,2000-02-04,Lehman,Jeffrey Applegate,80.0,1600.0
64,2000-02-04,Merrill Lynch,Charles Clough,40.0,
65,2000-02-04,Morgan Stanley,Peter Canelo,70.0,1620.0
66,2000-02-04,PaineWebber,Ed Kerschner,50.0,1600.0
67,2000-02-04,Prudential,Greg Smith,78.0,
68,2000-02-04,Salomon SB,Committee,55.0,1600.0
70,2000-02-11,Bear Stearns,Liz Mackay,55.0,1575.0
71,2000-02-11,CIBC,Subodh Kumar,51.0,1500.0
72,2000-02-11,CSFB,Christine Callies,55.0,1560.0
73,2000-02-11,DLJ,Thomas Galvin,80.0,1680.0
83,2000-02-11,SG Warburg,Gail Dudack,45.0,1300.0
74,2000-02-11,First Union,Rao Chalasani,65.0,
75,2000-02-11,Goldman Sachs,Abby Joseph Cohen,72.0,1525.0
76,2000-02-11,JPMorgan,Douglas Cliggott,50.0,1300.0
77,2000-02-11,Lehman,Jeffrey Applegate,80.0,1600.0
78,2000-02-11,Merrill Lynch,Charles Clough,40.0,
79,2000-02-11,Morgan Stanley,Peter Canelo,70.0,1620.0
80,2000-02-11,PaineWebber,Ed Kerschner,48.0,1600.0
81,2000-02-11,Prudential,Greg Smith,78.0,
82,2000-02-11,Salomon SB,Committee,55.0,1600.0
84,2000-02-18,Bear Stearns,Liz Mackay,55.0,1575.0
85,2000-02-18,CIBC,Subodh Kumar,51.0,1500.0
86,2000-02-18,CSFB,Christine Callies,55.0,1560.0
87,2000-02-18,DLJ,Thomas Galvin,80.0,1680.0
97,2000-02-18,SG Warburg,Gail Dudack,45.0,1300.0
88,2000-02-18,First Union,Rao Chalasani,65.0,
89,2000-02-18,Goldman Sachs,Abby Joseph Cohen,72.0,1525.0
90,2000-02-18,JPMorgan,Douglas Cliggott,50.0,1300.0
91,2000-02-18,Lehman,Jeffrey Applegate,80.0,1600.0
92,2000-02-18,Merrill Lynch,Charles Clough,40.0,
93,2000-02-18,Morgan Stanley,Peter Canelo,70.0,1620.0
94,2000-02-18,PaineWebber,Ed Kerschner,48.0,1600.0
95,2000-02-18,Prudential,Greg Smith,78.0,
96,2000-02-18,Salomon SB,Committee,55.0,1600.0
98,2000-02-25,Bear Stearns,Liz Mackay,55.0,1575.0
99,2000-02-25,CIBC,Subodh Kumar,51.0,1500.0
100,2000-02-25,CSFB,Christine Callies,55.0,1560.0
101,2000-02-25,DLJ,Thomas Galvin,80.0,1680.0
111,2000-02-25,SG Warburg,Gail Dudack,45.0,1300.0
102,2000-02-25,First Union,Rao Chalasani,65.0,
103,2000-02-25,Goldman Sachs,Abby Joseph Cohen,72.0,1525.0
104,2000-02-25,JPMorgan,Douglas Cliggott,50.0,1300.0
105,2000-02-25,Lehman,Jeffrey Applegate,80.0,1600.0
106,2000-02-25,Merrill Lynch,Charles Clough,40.0,
107,2000-02-25,Morgan Stanley,Peter Canelo,70.0,1620.0
108,2000-02-25,PaineWebber,Ed Kerschner,51.0,1600.0
109,2000-02-25,Prudential,Greg Smith,78.0,
110,2000-02-25,Salomon SB,Committee,55.0,1600.0
112,2000-03-17,Bear Stearns,Liz Mackay,55.0,1575.0
113,2000-03-17,CIBC,Subodh Kumar,51.0,1500.0
114,2000-03-17,CSFB,Christine Callies,55.0,1560.0
115,2000-03-17,DLJ,Thomas Galvin,80.0,1710.0
125,2000-03-17,SG Warburg,Gail Dudack,45.0,1300.0
116,2000-03-17,First Union,Rao Chalasani,65.0,
117,2000-03-17,Goldman Sachs,Abby Joseph Cohen,72.0,1525.0
118,2000-03-17,JPMorgan,Douglas Cliggott,50.0,1300.0
119,2000-03-17,Lehman,Jeffrey Applegate,80.0,1600.0
120,2000-03-17,Merrill Lynch,David Bowers,52.0,
121,2000-03-17,Morgan Stanley,Peter Canelo,70.0,1620.0
122,2000-03-17,PaineWebber,Ed Kerschner,52.0,1600.0
123,2000-03-17,Prudential,Greg Smith,78.0,
124,2000-03-17,Salomon SB,Committee,55.0,1600.0
126,2000-03-31,Bear Stearns,Liz Mackay,55.0,1575.0
127,2000-03-31,CIBC,Subodh Kumar,51.0,1500.0
128,2000-03-31,CSFB,Christine Callies,55.0,1560.0
129,2000-03-31,DLJ,Thomas Galvin,80.0,1710.0
139,2000-03-31,SG Warburg,Gail Dudack,45.0,1300.0
130,2000-03-31,First Union,Rao Chalasani,65.0,
131,2000-03-31,Goldman Sachs,Abby Joseph Cohen,67.0,1575.0
132,2000-03-31,JPMorgan,Douglas Cliggott,50.0,1300.0
133,2000-03-31,Lehman,Jeffrey Applegate,80.0,1600.0
134,2000-03-31,Merrill Lynch,David Bowers,52.0,
135,2000-03-31,Morgan Stanley,Peter Canelo,75.0,1620.0
136,2000-03-31,PaineWebber,Ed Kerschner,52.0,1600.0
137,2000-03-31,Prudential,Greg Smith,78.0,
138,2000-03-31,Salomon SB,Committee,55.0,1600.0
140,2000-04-18,Bear Stearns,Liz Mackay,60.0,1575.0
141,2000-04-18,CIBC,Subodh Kumar,54.0,1500.0
142,2000-04-18,CSFB,Christine Callies,55.0,1560.0
143,2000-04-18,DLJ,Thomas Galvin,90.0,1710.0
153,2000-04-18,SG Warburg,Gail Dudack,45.0,1300.0
144,2000-04-18,First Union,Rao Chalasani,65.0,
145,2000-04-18,Goldman Sachs,Abby Joseph Cohen,67.0,1575.0
146,2000-04-18,JPMorgan,Douglas Cliggott,50.0,1300.0
147,2000-04-18,Lehman,Jeffrey Applegate,80.0,1600.0
148,2000-04-18,Merrill Lynch,David Bowers,52.0,
149,2000-04-18,Morgan Stanley,Peter Canelo,75.0,1620.0
150,2000-04-18,PaineWebber,Ed Kerschner,54.0,1600.0
151,2000-04-18,Prudential,Greg Smith,78.0,
152,2000-04-18,Salomon SB,Committee,60.0,1600.0
154,2000-04-20,Bear Stearns,Liz Mackay,60.0,1620.0
155,2000-04-20,CIBC,Subodh Kumar,54.0,1500.0
156,2000-04-20,CSFB,Christine Callies,55.0,1560.0
157,2000-04-20,DLJ,Thomas Galvin,90.0,1710.0
167,2000-04-20,SG Warburg,Gail Dudack,45.0,1300.0
158,2000-04-20,First Union,Rao Chalasani,65.0,
159,2000-04-20,Goldman Sachs,Abby Joseph Cohen,67.0,1575.0
160,2000-04-20,JPMorgan,Douglas Cliggott,50.0,1300.0
161,2000-04-20,Lehman,Jeffrey Applegate,80.0,1600.0
162,2000-04-20,Merrill Lynch,David Bowers,50.0,
163,2000-04-20,Morgan Stanley,Peter Canelo,75.0,1620.0
164,2000-04-20,PaineWebber,Ed Kerschner,53.0,1600.0
165,2000-04-20,Prudential,Greg Smith,78.0,
166,2000-04-20,Salomon SB,Committee,60.0,1600.0
168,2000-04-28,Bear Stearns,Liz Mackay,60.0,1620.0
169,2000-04-28,CIBC,Subodh Kumar,54.0,1500.0
170,2000-04-28,CSFB,Christine Callies,55.0,1560.0
171,2000-04-28,DLJ,Thomas Galvin,90.0,1710.0
181,2000-04-28,SG Warburg,Gail Dudack,45.0,1300.0
172,2000-04-28,First Union,Rao Chalasani,65.0,
173,2000-04-28,Goldman Sachs,Abby Joseph Cohen,67.0,1575.0
174,2000-04-28,JPMorgan,Douglas Cliggott,50.0,1300.0
175,2000-04-28,Lehman,Jeffrey Applegate,80.0,1600.0
176,2000-04-28,Merrill Lynch,David Bowers,50.0,
177,2000-04-28,Morgan Stanley,Peter Canelo,75.0,1620.0
