Date,Firm,Strategist,Stock Allocation %,2002 Close
2002-01-04,Bank of America,Thomas McManus,55.0,1200.0
2002-01-04,Bear Stearns,,,
2002-01-04,CIBC,Subodh Kumar,75.0,1450.0
2002-01-04,CSFB,Thomas Galvin,70.0,1375.0
2002-01-04,Deutsche Bank,Ed Yardeni,80.0,1260.0
2002-01-04,First Union,Rod Smyth,74.0,1300.0
2002-01-04,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-01-04,JPMorgan,Douglas Cliggott,50.0,950.0
2002-01-04,Lehman,Jeffrey Applegate,80.0,1350.0
2002-01-04,Merrill Lynch,Richard Bernstein,60.0,1200.0
2002-01-04,Morgan Stanley,Steve Galbraith,70.0,1250.0
2002-01-04,Prudential,Greg Smith,55.0,
2002-01-04,Salomon SB,Committee,70.0,1325.0
2002-01-04,UBS,Ed Kerschner,78.0,1570.0
2002-01-11,Bank of America,Thomas McManus,55.0,1200.0
2002-01-11,Bear Stearns,,,
2002-01-11,CIBC,Subodh Kumar,75.0,1450.0
2002-01-11,CSFB,Thomas Galvin,70.0,1375.0
2002-01-11,Deutsche Bank,Ed Yardeni,80.0,1260.0
2002-01-11,First Union,Rod Smyth,85.0,1300.0
2002-01-11,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-01-11,JPMorgan,Douglas Cliggott,50.0,950.0
2002-01-11,Lehman,Jeffrey Applegate,80.0,1350.0
2002-01-11,Merrill Lynch,Richard Bernstein,60.0,1200.0
2002-01-11,Morgan Stanley,Steve Galbraith,70.0,1250.0
2002-01-11,Prudential,Committee,70.0,
2002-01-11,Salomon SB,Committee,70.0,1325.0
2002-01-11,UBS,Ed Kerschner,81.0,1570.0
2002-01-18,Bank of America,Thomas McManus,55.0,1200.0
2002-01-18,Bear Stearns,,,
2002-01-18,CIBC,Subodh Kumar,75.0,1450.0
2002-01-18,CSFB,Thomas Galvin,70.0,1375.0
2002-01-18,Deutsche Bank,Ed Yardeni,80.0,1260.0
2002-01-18,First Union,Rod Smyth,85.0,1300.0
2002-01-18,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-01-18,JPMorgan,Douglas Cliggott,50.0,950.0
2002-01-18,Lehman,Jeffrey Applegate,80.0,1350.0
2002-01-18,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-01-18,Morgan Stanley,Steve Galbraith,70.0,1250.0
2002-01-18,Prudential,Committee,70.0,
2002-01-18,Salomon SB,Committee,70.0,
2002-01-18,UBS,Ed Kerschner,82.0,1570.0
2002-01-25,Bank of America,Thomas McManus,55.0,1200.0
2002-01-25,Bear Stearns,,,
2002-01-25,CIBC,Subodh Kumar,75.0,1450.0
2002-01-25,CSFB,Thomas Galvin,70.0,1375.0
2002-01-25,Deutsche Bank,Ed Yardeni,80.0,1260.0
2002-01-25,First Union,Rod Smyth,85.0,1300.0
2002-01-25,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-01-25,JPMorgan,Douglas Cliggott,50.0,950.0
2002-01-25,Lehman,Jeffrey Applegate,80.0,1350.0
2002-01-25,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-01-25,Morgan Stanley,Steve Galbraith,70.0,1250.0
2002-01-25,Prudential,Committee,70.0,
2002-01-25,Salomon SB,Committee,70.0,1325.0
2002-01-25,UBS,Ed Kerschner,81.0,1570.0
2002-02-01,Bank of America,Thomas McManus,55.0,1200.0
2002-02-01,Bear Stearns,,,
2002-02-01,CIBC,Subodh Kumar,75.0,1450.0
2002-02-01,CSFB,Thomas Galvin,70.0,1375.0
2002-02-01,Deutsche Bank,Ed Yardeni,70.0,1260.0
2002-02-01,First Union,Rod Smyth,85.0,1300.0
2002-02-01,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-02-01,JPMorgan,Douglas Cliggott,50.0,950.0
2002-02-01,Lehman,Jeffrey Applegate,80.0,1350.0
2002-02-01,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-02-01,Morgan Stanley,Steve Galbraith,70.0,1250.0
2002-02-01,Prudential,Committee,70.0,
2002-02-01,Salomon SB,Committee,70.0,1325.0
2002-02-01,UBS,Ed Kerschner,81.0,1570.0
2002-02-08,Bank of America,Thomas McManus,55.0,1200.0
2002-02-08,Bear Stearns,,,
2002-02-08,CIBC,Subodh Kumar,75.0,1450.0
2002-02-08,CSFB,Thomas Galvin,70.0,1375.0
2002-02-08,Deutsche Bank,Ed Yardeni,70.0,1260.0
2002-02-08,First Union,Rod Smyth,85.0,1300.0
2002-02-08,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-02-08,JPMorgan,Douglas Cliggott,50.0,950.0
2002-02-08,Lehman,Jeffrey Applegate,80.0,1350.0
2002-02-08,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-02-08,Morgan Stanley,Steve Galbraith,70.0,1250.0
2002-02-08,Prudential,Committee,70.0,
2002-02-08,Salomon SB,Committee,70.0,1325.0
2002-02-08,UBS,Ed Kerschner,83.0,1570.0
2002-02-15,Bank of America,Thomas McManus,55.0,1200.0
2002-02-15,Bear Stearns,,,
2002-02-15,CIBC,Subodh Kumar,75.0,1450.0
2002-02-15,CSFB,Thomas Galvin,70.0,1375.0
2002-02-15,Deutsche Bank,Ed Yardeni,70.0,1260.0
2002-02-15,First Union,Rod Smyth,85.0,1300.0
2002-02-15,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-02-15,JPMorgan,Douglas Cliggott,50.0,950.0
2002-02-15,Lehman,Jeffrey Applegate,80.0,1350.0
2002-02-15,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-02-15,Morgan Stanley,Steve Galbraith,70.0,1250.0
2002-02-15,Prudential,Committee,70.0,
2002-02-15,Salomon SB,Committee,70.0,1325.0
2002-02-15,UBS,Ed Kerschner,83.0,1570.0
2002-02-23,Bank of America,Thomas McManus,55.0,1200.0
2002-02-23,Bear Stearns,,,
2002-02-23,CIBC,Subodh Kumar,75.0,1450.0
2002-02-23,CSFB,Thomas Galvin,70.0,1375.0
2002-02-23,Deutsche Bank,Ed Yardeni,70.0,1260.0
2002-02-23,First Union,Rod Smyth,85.0,1300.0
2002-02-23,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-02-23,JPMorgan,Douglas Cliggott,50.0,950.0
2002-02-23,Lehman,Jeffrey Applegate,80.0,1350.0
2002-02-23,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-02-23,Morgan Stanley,Steve Galbraith,70.0,1250.0
2002-02-23,Prudential,Committee,70.0,
2002-02-23,Salomon SB,Committee,70.0,1325.0
2002-02-23,UBS,Ed Kerschner,84.0,1570.0
2002-03-08,Bank of America,Thomas McManus,55.0,1200.0
2002-03-08,Bear Stearns,,,
2002-03-08,CIBC,Subodh Kumar,75.0,1450.0
2002-03-08,CSFB,Thomas Galvin,70.0,1375.0
2002-03-08,Deutsche Bank,Ed Yardeni,70.0,1260.0
2002-03-08,First Union,Rod Smyth,85.0,1300.0
2002-03-08,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-03-08,JPMorgan,,50.0,950.0
2002-03-08,Lehman,Jeffrey Applegate,80.0,1350.0
2002-03-08,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-03-08,Morgan Stanley,Steve Galbraith,70.0,1250.0
2002-03-08,Prudential,Committee,70.0,
2002-03-08,Salomon SB,Committee,75.0,1325.0
2002-03-08,UBS,Ed Kerschner,77.0,1570.0
2002-03-11,Bank of America,Thomas McManus,55.0,1200.0
2002-03-11,Bear Stearns,,,
2002-03-11,CIBC,Subodh Kumar,75.0,1450.0
2002-03-11,CSFB,Thomas Galvin,70.0,1375.0
2002-03-11,Deutsche Bank,Ed Yardeni,70.0,1260.0
2002-03-11,First Union,Rod Smyth,85.0,1300.0
2002-03-11,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-03-11,JPMorgan,Douglas Cliggott,50.0,950.0
2002-03-11,Lehman,Jeffrey Applegate,80.0,1350.0
2002-03-11,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-03-11,Morgan Stanley,Steve Galbraith,70.0,1250.0
2002-03-11,Prudential,Committee,70.0,
2002-03-11,Salomon SB,Committee,75.0,1325.0
2002-03-11,UBS,Ed Kerschner,84.0,1570.0
2002-03-15,Bank of America,Thomas McManus,50.0,1200.0
2002-03-15,Bear Stearns,,,
2002-03-15,CIBC,Subodh Kumar,75.0,1450.0
2002-03-15,CSFB,Thomas Galvin,70.0,1375.0
2002-03-15,Deutsche Bank,Ed Yardeni,70.0,1260.0
2002-03-15,First Union,Rod Smyth,85.0,1300.0
2002-03-15,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-03-15,JPMorgan,,50.0,950.0
2002-03-15,Lehman,Jeffrey Applegate,80.0,1350.0
2002-03-15,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-03-15,Morgan Stanley,Steve Galbraith,70.0,1250.0
2002-03-15,Prudential,Committee,70.0,
2002-03-15,Salomon SB,Committee,75.0,1325.0
2002-03-15,UBS,Ed Kerschner,77.0,1570.0
2002-04-05,Bank of America,Thomas McManus,50.0,1200.0
2002-04-05,Bear Stearns,,,
2002-04-05,CIBC,Subodh Kumar,75.0,1450.0
