Author,Date,Firm,Strategist,Stock Allocation %,2005 Close
Dune Lawrence,2004-12-20,Bank of America,Thomas McManus,55.0,
Dune Lawrence,2004-12-20,Bear Stearns,Francois Trahan,55.0,1200.0
Dune Lawrence,2004-12-20,CIBC,Subodh Kumar,72.0,
Dune Lawrence,2004-12-20,Citigroup,Committee,60.0,1300.0
Dune Lawrence,2004-12-20,Deutsche Bank,Barty/Love,69.0,
Dune Lawrence,2004-12-20,Goldman Sachs,Abby Joseph Cohen,75.0,
Dune Lawrence,2004-12-20,JPMorgan,,70.0,1275.0
Dune Lawrence,2004-12-20,Lehman,Henry Dickson,65.0,
Dune Lawrence,2004-12-20,Merrill Lynch,Richard Bernstein,45.0,
Dune Lawrence,2004-12-20,Morgan Stanley,Henry McVey,65.0,1250.0
Dune Lawrence,2004-12-20,Prudential,Edward Keon,60.0,1250.0
Dune Lawrence,2004-12-20,UBS,,58.0,
Dune Lawrence,2004-12-20,Wachovia,Rod Smyth,75.0,1195.0
Bing Xiao,2004-12-27,Bank of America,Thomas McManus,55.0,
Bing Xiao,2004-12-27,Bear Stearns,Francois Trahan,55.0,1200.0
Bing Xiao,2004-12-27,CIBC,Subodh Kumar,72.0,
Bing Xiao,2004-12-27,Citigroup,Committee,60.0,1300.0
Bing Xiao,2004-12-27,Deutsche Bank,Barty/Love,69.0,
Bing Xiao,2004-12-27,Goldman Sachs,Abby Joseph Cohen,75.0,
Bing Xiao,2004-12-27,JPMorgan,,70.0,1275.0
Bing Xiao,2004-12-27,Lehman,Henry Dickson,65.0,
Bing Xiao,2004-12-27,Merrill Lynch,Richard Bernstein,45.0,
Bing Xiao,2004-12-27,Morgan Stanley,Henry McVey,65.0,1250.0
Bing Xiao,2004-12-27,Prudential,Edward Keon,60.0,1250.0
Bing Xiao,2004-12-27,UBS,,58.0,1150.0
Bing Xiao,2004-12-27,Wachovia,Rod Smyth,75.0,
Bing Xiao,2005-01-03,Bank of America,Thomas McManus,55.0,1200.0
Bing Xiao,2005-01-03,Bear Stearns,Francois Trahan,55.0,1200.0
Bing Xiao,2005-01-03,CIBC,Subodh Kumar,72.0,1250.0
Bing Xiao,2005-01-03,Citigroup,Committee,60.0,1300.0
Bing Xiao,2005-01-03,Deutsche Bank,Barty/Love,69.0,1250.0
Bing Xiao,2005-01-03,Goldman Sachs,Abby Joseph Cohen,75.0,1325.0
Bing Xiao,2005-01-03,JPMorgan,,70.0,1275.0
Bing Xiao,2005-01-03,Lehman,Henry Dickson,65.0,1300.0
Bing Xiao,2005-01-03,Merrill Lynch,Richard Bernstein,45.0,1205.0
Bing Xiao,2005-01-03,Morgan Stanley,Henry McVey,65.0,1250.0
Bing Xiao,2005-01-03,Prudential,Edward Keon,60.0,1250.0
Bing Xiao,2005-01-03,UBS,,58.0,1150.0
Bing Xiao,2005-01-03,Wachovia,Rod Smyth,75.0,
