Author,Date,Firm,Strategist,Stock Allocation %,2007 Close,2008 Close
Rodney Yap,2007-01-16,Bank of America,Thomas McManus,55.0,1465.0,
Rodney Yap,2007-01-16,Bear Stearns,Francois Trahan,70.0,1600.0,
Rodney Yap,2007-01-16,Citigroup,Committee,60.0,1600.0,
Rodney Yap,2007-01-16,Deutsche Bank,Binky Chadha,,1540.0,
Rodney Yap,2007-01-16,Goldman Sachs,Abby Cohen,75.0,1550.0,
Rodney Yap,2007-01-16,JPMorgan,A. Chakrabortti,55.0,1440.0,
Rodney Yap,2007-01-16,Lehman,,60.0,1570.0,
Rodney Yap,2007-01-16,Merrill Lynch,R. Bernstein,50.0,1530.0,
Rodney Yap,2007-01-16,Morgan Stanley,Henry McVey,70.0,1525.0,
Rodney Yap,2007-01-16,Prudential,Edward Keon,90.0,1630.0,
Rodney Yap,2007-01-16,Strategas,Jason Trennert,75.0,1600.0,
Rodney Yap,2007-01-16,UBS,,51.5,1500.0,
Rodney Yap,2007-01-16,Wachovia,Rod Smyth,70.0,1550.0,
Rodney Yap,2007-01-22,Bank of America,Thomas McManus,55.0,1465.0,
Rodney Yap,2007-01-22,Bear Stearns,Francois Trahan,70.0,1600.0,
Rodney Yap,2007-01-22,Citigroup,Committee,60.0,1600.0,
Rodney Yap,2007-01-22,Deutsche Bank,Binky Chadha,,1540.0,
Rodney Yap,2007-01-22,Goldman Sachs,Abby Cohen,75.0,1550.0,
Rodney Yap,2007-01-22,HSBC,Kevin Gardiner,59.0,1575.0,
Rodney Yap,2007-01-22,JPMorgan,A. Chakrabortti,60.0,1440.0,
Rodney Yap,2007-01-22,Lehman,,60.0,1570.0,
Rodney Yap,2007-01-22,Merrill Lynch,R. Bernstein,50.0,1530.0,
Rodney Yap,2007-01-22,Morgan Stanley,Henry McVey,70.0,1525.0,
Rodney Yap,2007-01-22,Prudential,Edward Keon,90.0,1630.0,
Rodney Yap,2007-01-22,Strategas,Jason Trennert,75.0,1600.0,
Rodney Yap,2007-01-22,UBS,,51.5,1500.0,
Rodney Yap,2007-01-22,Wachovia,Rod Smyth,70.0,1550.0,
Rodney Yap,2007-01-29,Bank of America,Thomas McManus,55.0,1465.0,
