,Author,Date,Firm,Strategist,Stock Allocation %,2009 Close,2009 EPS,2010 Close,2010 EPS,Reweighted Allocation
0,Stephanie Luke,2009-01-05,Citigroup,Committee,,1000.0,,,,
1,Stephanie Luke,2009-01-05,Credit Suisse,Andrew Garthwaite,,1050.0,,,,
2,Stephanie Luke,2009-01-05,Goldman Sachs,David Kostin,,1100.0,,,,
3,Stephanie Luke,2009-01-05,HSBC,Kevin Gardiner,39.0,1000.0,,,,40.0
4,Stephanie Luke,2009-01-05,JPMorgan,Thomas Lee,60.0,1100.0,,,,60.0
5,Stephanie Luke,2009-01-05,Merrill Lynch,R. Bernstein,50.0,975.0,,,,50.0
6,Stephanie Luke,2009-01-05,Strategas,Jason Trennert,65.0,1100.0,,,,65.0
7,Stephanie Luke,2009-01-05,UBS,,51.5,1300.0,,,,56.0
8,Stephanie Luke,2009-01-12,Barclays,Barry Knapp,,874.0,,,,
9,Stephanie Luke,2009-01-12,Citigroup,Tobias Levkovich,,1000.0,,,,
10,Stephanie Luke,2009-01-12,Credit Suisse,Andrew Garthwaite,,1050.0,,,,
11,Stephanie Luke,2009-01-12,Goldman Sachs,David Kostin,,1100.0,,,,
12,Stephanie Luke,2009-01-12,HSBC,Kevin Gardiner,39.0,1000.0,,,,40.0
13,Stephanie Luke,2009-01-12,JPMorgan,Thomas Lee,60.0,1100.0,,,,60.0
14,Stephanie Luke,2009-01-12,Merrill Lynch,R. Bernstein,50.0,1030.0,,,,50.0
15,Stephanie Luke,2009-01-12,Strategas,Jason Trennert,65.0,1100.0,,,,65.0
16,Stephanie Luke,2009-01-12,UBS,,51.5,1300.0,,,,56.0
17,Stephanie Luke,2009-01-20,Barclays,Barry Knapp,,874.0,,,,
18,Stephanie Luke,2009-01-20,Citigroup,Tobias Levkovich,,1000.0,,,,
19,Stephanie Luke,2009-01-20,Credit Suisse,Andrew Garthwaite,,1050.0,,,,
20,Stephanie Luke,2009-01-20,Goldman Sachs,David Kostin,,1100.0,,,,
21,Stephanie Luke,2009-01-20,HSBC,Kevin Gardiner,39.0,1000.0,,,,40.0
22,Stephanie Luke,2009-01-20,JPMorgan,Thomas Lee,60.0,1100.0,,,,60.0
23,Stephanie Luke,2009-01-20,Merrill Lynch,R. Bernstein,50.0,1030.0,,,,50.0
24,Stephanie Luke,2009-01-20,Strategas,Jason Trennert,65.0,1100.0,,,,65.0
25,Stephanie Luke,2009-01-20,UBS,,51.5,1300.0,,,,56.0
26,Lynn Thomasson,2009-01-26,Barclays,Barry Knapp,,874.0,46.0,,,
27,Lynn Thomasson,2009-01-26,Citigroup,Tobias Levkovich,,1000.0,62.0,,,
28,Lynn Thomasson,2009-01-26,Credit Suisse,Andrew Garthwaite,,1050.0,,,,
29,Lynn Thomasson,2009-01-26,Deutsche Bank,Binky Chadha,,1140.0,64.5,,,
30,Lynn Thomasson,2009-01-26,Goldman Sachs,David Kostin,,1100.0,53.0,,,
31,Lynn Thomasson,2009-01-26,HSBC,Kevin Gardiner,,1000.0,,,,
32,Lynn Thomasson,2009-01-26,JPMorgan,Thomas Lee,,1100.0,65.0,,,
33,Lynn Thomasson,2009-01-26,Merrill Lynch,Richard Bernstein,,975.0,,,,
34,Lynn Thomasson,2009-01-26,Morgan Stanley,Abhijit Chakrabortti,,975.0,53.0,,,
35,Lynn Thomasson,2009-01-26,UBS,David Bianco,,1300.0,63.0,,,
36,Lynn Thomasson,2009-01-27,Barclays,Barry Knapp,,874.0,46.0,,,
37,Lynn Thomasson,2009-01-27,Citigroup,Tobias Levkovich,,1000.0,62.0,,,
38,Lynn Thomasson,2009-01-27,Credit Suisse,Andrew Garthwaite,,1050.0,,,,
39,Lynn Thomasson,2009-01-27,Deutsche Bank,Binky Chadha,,1140.0,64.5,,,
40,Lynn Thomasson,2009-01-27,Goldman Sachs,David Kostin,,1100.0,53.0,,,
41,Lynn Thomasson,2009-01-27,HSBC,Kevin Gardiner,,1000.0,,,,
42,Lynn Thomasson,2009-01-27,JPMorgan,Thomas Lee,,1100.0,65.0,,,
43,Lynn Thomasson,2009-01-27,Merrill Lynch,Richard Bernstein,,975.0,,,,
44,Lynn Thomasson,2009-01-27,Morgan Stanley,,,,,,,
45,Lynn Thomasson,2009-01-27,UBS,David Bianco,,1300.0,63.0,,,
57,Lynn Thomasson,2009-01-28,Barclays,Barry Knapp,,874.0,46.0,,,
58,Lynn Thomasson,2009-01-28,Citigroup,Tobias Levkovich,,1000.0,62.0,,,
59,Lynn Thomasson,2009-01-28,Credit Suisse,Andrew Garthwaite,,1050.0,,,,
60,Lynn Thomasson,2009-01-28,Deutsche Bank,Binky Chadha,,1140.0,64.5,,,
61,Lynn Thomasson,2009-01-28,Goldman Sachs,David Kostin,,1100.0,53.0,,,
62,Lynn Thomasson,2009-01-28,HSBC,Kevin Gardiner,,1000.0,,,,
63,Lynn Thomasson,2009-01-28,JPMorgan,Thomas Lee,,1100.0,65.0,,,
64,Lynn Thomasson,2009-01-28,Merrill Lynch,Richard Bernstein,,975.0,42.0,,,
65,Lynn Thomasson,2009-01-28,Morgan Stanley,,,,,,,
66,Lynn Thomasson,2009-01-28,UBS,David Bianco,,1300.0,63.0,,,
46,Lynn Thomasson,2009-01-29,Bank of America,Richard Bernstein,,975.0,42.0,,,
47,Lynn Thomasson,2009-01-29,Barclays,Barry Knapp,,874.0,46.0,,,
48,Lynn Thomasson,2009-01-29,Citigroup,Tobias Levkovich,,1000.0,62.0,,,
