Author,Date,Firm,Stock Allocation %
Lynn Thomasson,2010-01-04,BMO,65.0
Lynn Thomasson,2010-01-04,Bank of America,60.0
Lynn Thomasson,2010-01-04,Credit Suisse,65.0
Lynn Thomasson,2010-01-04,Deutsche Bank,60.0
Lynn Thomasson,2010-01-04,JPMorgan,60.0
Lynn Thomasson,2010-01-04,Oppenheimer,60.0
Lynn Thomasson,2010-01-04,RBC,60.0
Lynn Thomasson,2010-01-04,UBS,54.0
Lynn Thomasson,2010-01-19,BMO,65.0
Lynn Thomasson,2010-01-19,Bank of America,65.0
Lynn Thomasson,2010-01-19,Credit Suisse,65.0
Lynn Thomasson,2010-01-19,Deutsche Bank,60.0
Lynn Thomasson,2010-01-19,JPMorgan,60.0
Lynn Thomasson,2010-01-19,Oppenheimer,60.0
Lynn Thomasson,2010-01-19,RBC,60.0
Lynn Thomasson,2010-01-19,UBS,55.0
Lynn Thomasson,2010-01-26,BMO,65.0
Lynn Thomasson,2010-01-26,Bank of America,65.0
Lynn Thomasson,2010-01-26,Credit Suisse,65.0
Lynn Thomasson,2010-01-26,Deutsche Bank,60.0
Lynn Thomasson,2010-01-26,JPMorgan,60.0
Lynn Thomasson,2010-01-26,Oppenheimer,60.0
Lynn Thomasson,2010-01-26,RBC,60.0
Lynn Thomasson,2010-01-26,UBS,52.0
Lynn Thomasson,2010-02-01,BMO,65.0
Lynn Thomasson,2010-02-01,Bank of America,65.0
Lynn Thomasson,2010-02-01,Credit Suisse,65.0
Lynn Thomasson,2010-02-01,Deutsche Bank,60.0
Lynn Thomasson,2010-02-01,JPMorgan,60.0
Lynn Thomasson,2010-02-01,Oppenheimer,60.0
Lynn Thomasson,2010-02-01,RBC,60.0
Lynn Thomasson,2010-02-01,UBS,52.0
Emily Schmitt,2010-02-08,BMO,67.0
Emily Schmitt,2010-02-08,Bank of America,65.0
Emily Schmitt,2010-02-08,Credit Suisse,65.0
Emily Schmitt,2010-02-08,Deutsche Bank,60.0
Emily Schmitt,2010-02-08,JPMorgan,60.0
Emily Schmitt,2010-02-08,Oppenheimer,60.0
Emily Schmitt,2010-02-08,RBC,60.0
Emily Schmitt,2010-02-08,UBS,50.0
Lynn Thomasson,2010-02-26,BMO,67.0
Lynn Thomasson,2010-02-26,Bank of America,65.0
Lynn Thomasson,2010-02-26,Credit Suisse,65.0
